発売年,メーカー,タイトル,ハード,ジャンル,容量(bit),価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1988-01-01,ハード,ダブルヴィジョン,MSX2,-,2M,￥,￥0代,1,ASCII_8KB,,,,,,,,
1985-01-01,コンプティーク,ダムバスター,MSX,-,32K,"￥5,900","￥6,000代",1,Mirrored,,,,,,,,
1984-01-01,アスキー,たわらくん,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ＨＡＬ研究所,ダンクショット,MSX,-,32K,"￥5,600","￥5,500代",1,Mirrored,,,,,,,,
1984-01-01,ナムコ,タンクバタリアン,MSX,-,8K,"￥4,500","￥4,500代",1,Mirrored,,,平岡一邦,岡本進一郎|小野浩,,,,
1989-01-01,アスキー,ダンジョンハンター,MSX,-,1M,"￥12,800","￥13,000代",1,ASCII_16KB,,,,,,,,
1986-01-01,アスキー,ダンジョンマスター,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,ポニーキャニオン,チェッカーズインTANTANたぬき,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,ザインソフト,チャアムクリスマス,MSX2,-,2M,￥,￥0代,1,?,,,,,,,,
1985-01-01,エプソン,ちゃっかりCOPY,MSX,-,不明,"￥12,000","￥12,000代",1,?,,,,,,,武部聡志(M1|3|5|6) 大黒摩季&葉山たけし(M4) 大黒摩季&本間昭光(M7),
1984-01-01,タイトー／ニデコ,ちゃっくんぽっぷ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,今村善雄,,,
1985-01-01,ポニーキャニオン,チャレンジダービー,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ポニーキャニオン,チャンピオンアイスホッケー,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ポニーキャニオン,チャンピオンサッカー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ソニー,チャンピオンシップロードランナー,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,ダグラス・E・スミス,,,,
1985-01-01,コンプティーク,チャンピオンバルダーダッシュ,MSX,-,32K,"￥5,900","￥6,000代",1,*0,,,,,,,,
1985-01-01,ポニーキャニオン,チャンピオンプロレス,MSX,-,32K,"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1985-01-01,ポニーキャニオン,チャンピオンボクシング,MSX,-,32K,"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1986-01-01,ポニーキャニオン,チャンピオン剣道,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ソニー,チョップリフター,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,ダン・ゴーリン,,,,
1984-01-01,タイトー／ニデコ,チョロQ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,カシオ,ツインビー,MSX,-,32K,"￥4,800","￥5,000代",1,?,,,青山和浩,青山和浩,福武茂|佐々木嘉則,,廣下宏治,
1986-01-01,コナミ,ツインビー,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,青山和浩,青山和浩,福武茂|佐々木嘉則,,廣下宏治,
1980-01-01,T＆E SOFT,ディーヴァネットワークバージョン,MSX2,-,不明,￥,￥0代,1,?,,,,,,,,
1987-01-01,T＆E SOFT,ディーヴァアスラの血流,MSX,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,スキャップアトラスト,ディープダンジョン2勇士の紋章,MSX,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM,,,,,,,,
1988-01-01,スキャップアトラスト,ディープダンジョン魔洞戦記,MSX,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM,,,,,,,,
1987-01-01,ザインソフト,ディープフォレスト,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,ナムコ,ディグダグ,MSX,-,32K,"￥4,500","￥4,500代",1,Mirrored,,,さかいとしお|深谷正一,池上まさとし,慶野由利子,,,
1984-01-01,アスキー,デインジャーX4,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1985-01-01,ヤマハ,データメモリカートリッジ,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1986-01-01,電波新聞社,デーモンクリスタル,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ポニーキャニオン,デカスロン,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ゲームアーツ,テクザー(THEXDER),MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,五代響|上坂哲,五代響,,,
1987-01-01,日本テレネット,デジタルデビル物語女神転生,MSX,RPG,1M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,北爪宏幸|江崎稔,増子司,,,
1984-01-01,アスキー,テセウス,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ＨＡＬ研究所,てつまん,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,マスティール,テトラホラー,MSX,-,不明,"￥4,800","￥5,000代",1,?,,,,,,,,
1988-01-01,BPS,テトリス,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1983-01-01,ゼネラル,デビルズ・ヘブン,MSX,-,16K,"￥4,800","￥5,000代",1,*0,,,,,,,,
1980-01-01,日本物産,テラクレスタ,MSX2,-,1M,￥,￥0代,1,?,,,,藤原茂樹,吉田健志,,,
1983-01-01,アスキー,テレバニー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,エニックス,ドアドア,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,中村光一,,,,
1988-01-01,エミールソフト,とーくまん,MSX2,-,不明,"￥14,800","￥15,000代",1,?,,,,,,,,
1988-01-01,ポニーキャニオン,ドーンパトロール,MSX,-,64K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,パット・グラッサー,
1985-01-01,ポニーキャニオン,どきどきペンギンランド,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,東芝/東芝ＥＭＩ,ドクターセルフ(Dr.SELF),不明,-,不明,￥,￥0代,1,?,,,,,,,,
1986-01-01,ボースティック,トップルジップ,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,ボースティック,トップルジップ,MSX2,-,1M,"￥5,900","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,ジャレコ,トップローラー(TOPROLLER),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,アスキー,トライアルスキー,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1983-01-01,ＨＡＬ研究所,ドラゴンアタック,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,エニックス,ドラゴンクエスト,MSX,RPG,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,中村光一,チュンソフト,鳥山明|榎本一夫|土居孝幸,すぎやまこういち,堀井雄二,千田幸信,
1986-01-01,エニックス,ドラゴンクエスト,MSX2,RPG,1M,"￥6,400","￥6,500代",1,ASCII_8KB,,中村光一,チュンソフト,鳥山明|榎本一夫|土居孝幸,すぎやまこういち,堀井雄二,千田幸信,
1987-01-01,エニックス,ドラゴンクエストⅡ悪霊の神々,MSX2,RPG,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,中村光一,中村光一,堀井雄二|鳥山明,すぎやまこういち,堀井雄二,千田幸信,
1987-01-01,エニックス,ドラゴンクエストⅡ悪霊の神々,MSX,RPG,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,中村光一,中村光一,堀井雄二|鳥山明,すぎやまこういち,堀井雄二,千田幸信,
1985-01-01,スクウェア,ドラゴンスレイヤー,MSX,RPG,32K,"￥5,200","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ファルコム,ドラゴンスレイヤーⅣドラスレファミリー,MSX,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,秋葉紀好|木屋善夫,大浦孝浩|都築和彦|古代彩乃,古代祐三|石川三恵子,立川敏男|木屋善夫|畠山孝一|大浦孝浩|秋葉紀好,加藤正幸,
1987-01-01,ファルコム,ドラゴンスレイヤーⅣドラスレファミリー,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,秋葉紀好|木屋善夫,大浦孝浩|都築和彦|古代彩乃,古代祐三|石川三恵子,立川敏男|木屋善夫|畠山孝一|大浦孝浩|秋葉紀好,加藤正幸,
1987-01-01,ナムコ,ドラゴンバスター,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,是枝ひろき,佐藤英治,慶野由利子,,,
1986-01-01,ソニー,トラフィック,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1986-01-01,東芝/東芝ＥＭＩ,トランプエイド,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ザインソフト,トリトーン,MSX,-,32K,￥,￥0代,1,Standard(startat0x4000),,,,,,,,
1986-01-01,ナムコ,ドルアーガの塔,MSX,-,32K,"￥4,500","￥4,500代",1,Mirrored,,,内藤智,遠藤雅伸|篠崎雄一郎,小沢純子,,,
1988-01-01,日本デクスタ,ドルイド,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,ビクター音産,ドレイナー,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ソニー,ドロドン,MSX,-,16K,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1987-01-01,電波新聞社,ナイザースペシャル,MSX,-,1M,"￥5,300","￥5,500代",1,ASCII_16KB,,,,,,,,
1985-01-01,日本デクスタ,ナイトシェード,MSX,-,32K,"￥5,700","￥5,500代",1,Mirrored,,,,,,,,
1986-01-01,日本デクスタ,ナイトロアー,MSX,-,32K,"￥5,700","￥5,500代",1,Mirrored,,,クリス・スタンパー|ジョン・ラスバリー,クリス・スタンパー|ティム・スタンパー|ティム・スタンパー|キャロル・スタンパー,,,,
1986-01-01,ビクター音産,ナイルの涙,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,東京書籍,ニューキャルシリーズニューホライズン全3巻,MSX,-,1M,"￥6,800","￥7,000代",1,?,,,,,,,,
1986-01-01,マイクロキャビン,は～りぃふぉっくすMSXスペシャル,MSX,-,1M,"￥6,800","￥7,000代",1,ASCII_16KB+SRAM,,,,,,,,
1986-01-01,電波新聞社,バーガータイム,MSX,-,32K,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1980-01-01,ソニー,バーディー,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1987-01-01,ソニー,ハードボール,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,Adam Gok,ガイ・エドモンズ|マット・ゼレメズ,Joe Weatherstone,
1985-01-01,マイクロキャビン,はーりぃふぉっくす雪の魔王編,MSX,-,64K,￥,￥0代,1,[はーりぃふぉっくす雪の魔王編] rom,,,,,,,,
1983-01-01,ウェイリミット,ハイウェイスター,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ポニーキャニオン,ハイスクール!奇面組,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,金沢比呂司,菊池俊輔,,,
1985-01-01,コンプティーク,ハイスト,MSX,-,32K,"￥5,900","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,T＆E SOFT,ハイドライド,MSX,ACT,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1986-01-01,T＆E SOFT,ハイドライドⅡ,MSX,ACT,1M,"￥6,400","￥6,500代",1,ASCII_16KB+SRAM,,,,,,,,
1987-01-01,T＆E SOFT,ハイドライド3,MSX,ACT,4M,"￥7,800","￥8,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,T＆E SOFT,ハイドライド3,MSX2,ACT,4M,"￥7,800","￥8,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,T＆E SOFT,ハイドライドブロンズバック(Ⅱと3のセット),MSX,-,不明,"￥9,980","￥10,000代",1,-,,,,,,,,
1984-01-01,ZAP,パイナップリン,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,コナミ,ハイパーオリンピック1,MSX,SPT,16K,"￥4,800","￥5,000代",1,Mirrored,,,森下繁,,福武茂,,石原祥吉,
1984-01-01,ソニー,ハイパーオリンピックⅠ,MSX,SPT,16K,"￥4,800","￥5,000代",1,?,,,森下繁,,福武茂,,石原祥吉,
1984-01-01,コナミ,ハイパーオリンピック2,MSX,SPT,16K,"￥4,800","￥5,000代",1,Mirrored,,,森下繁,,福武茂,,石原祥吉,
1984-01-01,ソニー,ハイパーオリンピックⅡ,MSX,SPT,16K,"￥4,800","￥5,000代",1,?,,,森下繁,,福武茂,,石原祥吉,
1984-01-01,コナミ,ハイパースポーツ1,MSX,SPT,16K,"￥4,800","￥5,000代",1,Mirrored,,,町口浩康,,福武茂,,石原祥吉,
1984-01-01,ソニー,ハイパースポーツⅠ,MSX,SPT,16K,￥,￥0代,1,?,,,町口浩康,,福武茂,,石原祥吉,
1984-01-01,コナミ,ハイパースポーツ2,MSX,SPT,16K,"￥4,800","￥5,000代",1,Mirrored,,,町口浩康,,福武茂,,石原祥吉,
1984-01-01,ソニー,ハイパースポーツⅡ,MSX,SPT,16K,￥,￥0代,1,?,,,町口浩康,,福武茂,,石原祥吉,
1985-01-01,コナミ,ハイパースポーツ3,MSX,SPT,32K,"￥4,800","￥5,000代",1,Mirrored,,,町口浩康,,福武茂,,石原祥吉,
1985-01-01,コナミ,ハイパーラリー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,アスキー,パイパニック,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,ハドソン,バギージャンプ,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1984-01-01,ポニーキャニオン,パストファインダー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,en:Jason Bulmahn,,ダンジョンズ&ドラゴンズ第3版,,
1983-01-01,アスキー,パスボール,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1986-01-01,システムソフト,パズルパニック,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ソニー,パソコンタイプライター,MSX,-,不明,"￥6,800","￥7,000代",1,?,,,,,,,,
1983-01-01,リットーミュージック,パソコン作曲家,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1980-01-01,ストラッドフォード,パソコン先生入門編・教師用,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1985-01-01,東芝/東芝ＥＭＩ,パチコン,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,ＨＡＬ研究所,パチプロ伝説,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,カシオ,パチンコUFO,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,小松原一男|荒木伸吾,菊池俊輔,永井豪とダイナミック企画,,
1988-01-01,ポニーキャニオン,ハッカー,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1984-01-01,ソニー,バックギャモン,MSX,-,16K,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1985-01-01,ポニーキャニオン,バックトゥザフューチャー,MSX,-,32K,"￥4,900","￥5,000代",1,Standard(startat0x4000),,,,,アラン・シルヴェストリ,ロバート・ゼメキス|ボブ・ゲイル,,
1989-01-01,ナムコ,パックマニア,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,慶野由利子|小沢純子|戸室仁人,,岩谷徹,
1984-01-01,ナムコ,パックマン,MSX,-,16K,"￥4,500","￥4,500代",1,Mirrored,,,舟木茂雄,岩谷徹|山下正,石村繁一|甲斐敏夫,,,
1984-01-01,コンパイル,ハッスルチュミー,MSX,-,16K,"￥4,800","￥5,000代",1,*0,,,,,,,,
1985-01-01,テクノソフト,ばってんタヌキの大冒険,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,ナオト・インティライミ(作詞・作曲),,,
1987-01-01,パック・イン・ビデオ,バットマンロビン救出スペシャル,MSX,-,64K,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,ソニー,バトルクロス,MSX,-,16K,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1983-01-01,T＆E SOFT,バトルシップ・クラプトンII,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,パナソフト,FMパナアミューズメントカートリッジ,MSX,-,64K,"￥3,800","￥4,000代",1,[パナアミューズメントカートリッジ] rom,,,,,,,,
1985-01-01,パナソフト,パナソフトのサッカー(MSXsoccre),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,パナソフト,パナソフトのベースボール(MSXBASEBALL),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,パナソフト,パナソフトのベースボールII(MSXBASEBALLII),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,パナソフト,パナソフトのラグビー(MSXRUGBY),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,スタジオＧＥＮ,バナナ(BANANA),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,タイトー／ニデコ,バブルボブル,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,藤末一郎|NISHIYORI,三辻富貴朗,君島正,,,
1984-01-01,アスキー,はらぺこパックン,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ＨＡＬ研究所,バラン数(BALANCE),MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,コナミ,パロディウスタコは地球を救う,MSX,SHT,1M,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1985-01-01,ポニーキャニオン,ハングオン,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ポニーキャニオン,バンクパニック,MSX,-,32K,"￥4,900","￥5,000代",1,?,,,,,,,,
1984-01-01,ソニー,バンゲリングベイ,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,ウィル・ライト,,,,
1986-01-01,アイレム,パンサー,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1990-01-01,ＨＡＬ研究所,ハンディスキャナMSX2,MSX2,-,不明,"￥24,800","￥25,000代",1,?,,,,,,,,
1984-01-01,日本コロムビア,ピータン,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,ハドソン,ビーパック(BEEPACK),MSX,-,不明,￥,￥0代,1,-,,,,,,,,
1984-01-01,ポニーキャニオン,ビームライダー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ポニーキャニオン,ヒーロー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1991-01-01,ポニーキャニオン,ヒーローオブザランス,MSX2,-,4M,"￥7,500","￥7,500代",1,ASCII_8KB+SRAM,,,,,,,,
1983-01-01,ＨＡＬ研究所,ピクチャーパズル,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,タイトー／ニデコ,ビクトリアスナインII高校野球編,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1980-01-01,ＨＡＬ研究所,ピッキー,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1984-01-01,ハドソン,ひつじやーい,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ポニーキャニオン,ピットフォール,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,デヴィッド・クレーン,,,,
1984-01-01,ポニーキャニオン,ピットフォールII,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,ソニー,ビデオデジタイザー,MSX2,-,不明,"￥29,800","￥30,000代",1,?,,,,,,,,
1983-01-01,コナミ,ビデオハスラー,MSX,-,8K,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1984-01-01,ビクター音産,ビデオ画面効果ソフトビデオ・エディパル,MSX,-,不明,"￥7,800","￥8,000代",1,?,,,,,,,,
1984-01-01,日本デクスタ,ピピ(オウムのピピの大冒険),MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,ナオト・インティライミ(作詞・作曲),,,
1985-01-01,コナミ,ピポルス,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,T＆E SOFT,ピラミッド・ワープ,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,セイカロモックス,ピロマン,MSX,-,不明,"￥5,500","￥5,500代",1,?,,,,,,,,
1987-01-01,ＨＡＬ研究所,ピロマン,MSX,-,不明,"￥5,500","￥5,500代",1,?,,,,,,,,
1985-01-01,日本コロムビア,ピンキーチェイス,MSX,-,不明,"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,日本コロムビア,ピンボールメーカー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,マスティール,ファーマー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,ハミングバードソフト,ファイアボール,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1985-01-01,ポニーキャニオン,ファイナルジャスティス,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,日本テレネット,ファイナルゾーンウルフ,MSX,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1983-01-01,ＭＩＡ,ファイナル麻雀,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ハドソン,ファイヤーレスキュー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,テディ・ロビン・クァン|トミー・ワイ,デレク・クォック|ジル・レオン|フィリップ・ユン,,
1988-01-01,BIT2,ファミクルパロディック,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,パック・イン・ビデオ,ファミリービリヤード,MSX2,-,64K,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,ソニー,ファミリーボクシングMSXタイトルマッチ,MSX2,-,2M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,ソニー,ファルク,MSX,-,32K,"￥14,800","￥15,000代",1,Mirrored,,,,,,,,
1984-01-01,ZAP,ファンキー・マウス,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ポニーキャニオン,ファンタジーゾーン,MSX,-,1M,"￥5,500","￥5,500代",1,ASCII_8KB,,石井洋児,片木秀一,石井洋児|近藤正樹,川口博史,,,
1987-01-01,ポニーキャニオン,ファンタジーゾーンⅡオパオパの涙,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,上保徳彦,,,
1984-01-01,アスキー,ブーメラン,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ZAP,フェアリー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ＧＡ夢／HOT-B,フェアリーランドストーリー,MSX,-,1M,"￥5,900","￥6,000代",1,ASCII_8KB,,緒方正樹|波多野幹夫,,辻野浩司|西村年幸|きたがわてつお,Y.TSUCHIDA|君島正,石田一朋,,
1985-01-01,日本デクスタ,フォーメーションZ,MSX,-,32K,"￥5,700","￥5,500代",1,Mirrored,,,,,渥美徳弘,,,
1987-01-01,タケル／ブラザー工業,フォールフェル,MSX,-,不明,"￥2,500","￥2,500代",1,?,,,,,,,,
1983-01-01,アンプルソフトウエア,ブギウギジャングル,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,ＨＡＬ研究所,ぶた丸パンツ,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,須藤典彦[注 1],,松原徳弘|亀田祥倫,やまだ豊,青山剛昌,,
1988-01-01,サブロジック,フライトシミュレーター,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,ポニーキャニオン,フライトデッキ,MSX,-,64K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,マイクロキャビン,ブラッガー,MSX,-,32K,"￥5,400","￥5,500代",1,Standard(startat0x4000),,,,,,舘そらみ|上田迅(ザ・ワークス)|岸本鮎佳,,
1984-01-01,東芝/東芝ＥＭＩ,フラッシュスプラッシュ,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,デービーソフト,フラッピーリミテッド,MSX,-,16K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1984-01-01,カシオ,フラッピーリミテッド,MSX,-,16K,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,デービーソフト,フラッピーリミテッド'85,MSX,-,16K,￥,￥0代,1,Mirrored,,,,,,,,
1990-01-01,アスキー,フリートコマンダーII黄昏の海域,MSXTurboR,-,2M,"￥9,800","￥10,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,マイクロネット,フリッキー,MSX,-,32K,"￥4,400","￥4,500代",1,Mirrored,,,石川ヒデキ|片木秀一,石井洋児|川崎吉喜,,,,
1983-01-01,スペクトラ・ビデオ,フリッパースリッパー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ソニー,プリンターソフトプリントラボ,MSX,-,不明,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,コンプティーク,ブルース・リー,MSX,-,32K,"￥5,900","￥6,000代",1,Mirrored,,,,,,,,
1983-01-01,ＨＡＬ研究所,フルーツサーチ,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ＨＡＬ研究所,ブルとマイティー危機一髪,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ヤマハ,プレイカードセット,MSX,-,16K,"￥12,800","￥13,000代",1,Mirrored,,,,,,,,
1983-01-01,アスキー,ブレイクアウト,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1987-01-01,ジャレコ,ブレイクイン(BREAKIN),MSX,-,64K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ソニー,プレイボール,MSX,-,32K,"￥6,900","￥7,000代",1,[プレイボール] rom,,,,,,,,
1988-01-01,パック・イン・ビデオ,プレデター,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,ポニーキャニオン,プロジェクトA2史上最大の標的,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,マイケル・ライ,ジャッキー・チェン|エドワード・タン,,
